cycle,cube_id,coarse_error_mm,refined_error_mm,grasp_success
1,4,2.8690771534576567,1.017084324889976,True
2,3,5.127166036025154,1.592930051348846,True
3,5,7.762140633741151,0.7936844986055157,True
4,6,8.069984135934595,0.8830573855720052,True
