stage,x,y,z,error_m
ground_truth,0.4999980982085541,0.0500042875549769,0.034988446746797845,0.0
coarse_estimate,0.4974673103260865,0.04605663615818483,0.05809784284846964,0.023580352563958892
refined_estimate,0.49906895118632194,0.048846727485753035,0.05515624949024589,0.020222352162926425
final_cube_position,0.4999981129875274,0.05003968630702722,0.034988607863667046,

coarse_error_mm,23.580352563958893
refined_error_mm,20.222352162926423
improvement_mm,3.3580004010324673
grasp_success,False
