cycle,cube_id,coarse_error_mm,refined_error_mm,grasp_success
1,4,2.7067970906617296,1.506525003395732,False
2,3,5.497619788435855,0.8982465587009665,False
3,5,8.359756936979034,0.8451400658150227,False
4,6,57.0944746265788,48.676999347616515,False
