cycle,cube_id,coarse_error_mm,refined_error_mm,grasp_success
1,3,4.04900540598668,0.6622771478379632,False
2,5,6.259450667334999,0.8640171758502745,False
3,4,7.198686302731314,1.9986928206244918,False
4,6,12.55648772047145,2.032639914412255,True
